#{"t_start": 1765297366.2538664, "env_id": "intersection-v0"}
r,l,t
1.552054,13,787.257862
-3.0,13,787.857545
7.538649,11,788.370915
-1.0,5,788.535207
-1.690719,7,788.782837
-2.373197,7,789.171342
9.0,9,789.513138
-2.806313,10,790.162465
-1.446814,7,790.512487
6.175093,11,790.963084
4.297137,13,791.225954
-1.318719,6,791.599992
7.475173,13,792.220413
-0.299923,5,792.40894
6.244616,10,792.669411
-4.0,10,793.047656
7.549949,10,793.236442
-1.373258,7,793.494087
-1.447446,7,793.831999
10.0,10,794.230617
7.23492,12,794.787674
0.0,6,795.092454
-1.0,8,795.18262
6.615511,13,795.933111
9.0,9,796.375077
-4.384487,8,796.771003
7.459742,12,797.073356
6.617508,11,797.472523
9.0,9,797.790847
7.62673,10,798.229453
0.0,5,798.564459
8.0,8,798.877964
3.0,9,799.35328
10.0,10,799.585717
-3.460636,7,799.989535
7.297037,11,800.505252
11.0,11,801.316827
-2.373197,7,801.601182
0.420014,6,801.825095
5.276237,13,802.352274
-1.731221,7,802.762734
8.552805,11,803.144145
-2.0,4,803.267351
10.0,10,803.421376
9.0,9,803.86999
9.0,9,804.270499
-1.0,5,804.499803
8.0,8,805.16246
0.0,5,805.354604
-1.0,5,805.552551
9.0,9,805.986909
-1.0,5,806.190888
-1.0,5,806.608098
7.626732,9,806.944841
-1.0,5,807.25497
10.0,10,807.452545
6.09954,13,808.027669
3.103773,13,808.647671
5.235972,12,809.285594
-2.513981,10,809.587231
-1.318719,6,809.945088
10.0,10,810.368566
3.549797,13,811.07579
-3.781795,10,811.829986
-1.0,7,812.051472
7.550194,10,812.321098
-2.0,4,812.416364
8.552805,11,812.866421
-1.0,5,813.056805
-4.0,6,813.193394
9.0,9,813.50153
7.539083,11,813.793441
-1.0,6,814.199466
7.234075,12,814.739318
-1.436972,7,815.00737
-2.386033,10,815.585548
5.112422,13,816.001511
9.0,9,816.493412
7.257553,10,819.617553
9.0,9,819.876137
-3.0,12,820.54418
9.0,9,820.881566
9.617421,11,821.474574
7.633114,9,821.971785
2.42,8,822.395043
0.0,6,822.606957
-1.372771,5,822.796447
-1.634655,5,823.022241
7.562943,10,823.520814
-1.0,5,823.911748
9.615599,11,824.230763
-3.382507,7,824.405705
-1.634655,5,824.604159
9.0,9,825.028584
-2.0,10,825.440085
8.179187,12,826.126273
9.0,9,826.837467
-2.0,6,827.200204
2.0,13,828.00904
7.232946,11,828.381251
9.0,9,828.66437
-0.57992,5,828.859363
-1.526176,7,829.122774
0.0,6,829.470342
-1.0,10,829.853016
-3.768641,9,830.296295
-1.0,6,830.561886
6.68121,12,831.163448
3.0,13,831.774778
-1.472197,9,832.071644
9.0,9,832.619833
6.971895,11,833.046361
8.62673,10,833.405006
-4.447885,8,833.902339
3.11333,13,834.717396
8.615645,10,835.282078
-2.472125,8,835.63247
0.0,6,835.876976
