#{"t_start": 1765294067.0021012, "env_id": "merge-v0"}
r,l,t
11.719208,16,212.713304
5.875518,7,212.887197
13.745122,16,213.285136
14.884012,17,213.741516
12.235592,16,214.206404
5.066672,6,214.391318
10.769434,13,214.785427
5.012402,6,214.939931
5.686544,7,215.171666
6.904652,8,215.402198
7.44409,10,215.693074
13.584377,16,216.153358
8.051041,10,216.429138
11.629459,15,216.840852
10.972155,15,217.236244
6.144451,7,217.417308
11.606197,16,217.880697
13.356187,15,218.275368
9.661317,12,218.5912
7.172222,8,218.830287
4.150044,5,218.983877
13.717346,16,219.492973
8.134371,10,219.738827
7.377754,9,219.990004
7.005723,9,220.238262
12.605273,15,220.622786
12.521227,15,220.986114
3.810367,5,221.121907
13.384011,15,221.486528
12.002941,14,221.831153
3.361111,4,221.940963
6.882544,8,222.164037
13.106225,15,222.585099
6.778935,9,222.842861
10.166725,12,223.145728
13.975157,17,223.614195
11.652212,16,223.979692
10.708226,12,224.314623
8.663689,10,224.586796
6.956831,8,224.793292
13.158169,15,225.176265
4.901369,6,225.302289
7.264623,8,225.502926
12.428703,15,225.903205
11.222163,15,226.340882
13.094794,15,226.738758
6.579716,8,226.996878
6.661571,8,227.153676
13.134998,16,227.634047
13.91012,15,228.052137
7.524037,9,228.325376
11.742352,15,228.710822
13.967346,16,229.120431
13.634012,15,229.553621
8.393298,10,229.821589
8.328949,10,230.073056
9.514534,11,230.352699
14.31734,16,230.842453
4.194444,5,230.96408
6.795802,8,231.180431
12.328123,14,231.538192
4.233161,5,231.705273
10.799069,13,232.021575
4.013419,5,232.161303
7.104411,8,232.373083
4.632833,6,232.508716
13.249927,16,232.992305
8.382226,10,233.214295
10.069178,12,233.545528
12.049718,15,233.984277
12.502943,15,234.431937
8.979684,12,234.73912
3.983161,5,234.891289
13.634011,15,235.200587
13.403282,17,235.615793
6.122227,7,235.755763
7.571727,9,235.971115
14.134012,16,236.479699
8.097625,9,236.739733
12.661513,14,237.076979
4.979535,6,237.243603
3.885943,5,237.368204
13.936272,17,237.881785
8.967346,11,238.18764
4.146285,5,238.359202
4.970343,6,238.528508
11.85265,13,238.927263
6.651473,8,243.782164
13.763073,15,244.166737
14.66179,17,244.637354
4.10861,5,244.788799
12.207815,16,245.337139
10.739704,15,245.815652
13.400397,15,246.191802
14.550679,17,246.639077
13.911742,16,247.034896
11.858097,16,247.45328
7.942945,10,247.755877
9.079384,13,248.057108
9.456229,11,248.35866
9.919255,12,248.689143
8.789677,10,248.971842
13.495123,15,249.344588
13.745123,16,249.856456
14.402296,16,250.247269
6.812884,8,250.437404
6.566332,8,250.697796
14.513407,16,251.107482
14.800679,17,251.633688
12.327496,15,252.04931
13.550679,16,252.494147
11.440543,14,252.929166
7.863078,9,253.158502
13.91179,16,253.589757
14.105902,16,254.059729
12.050283,17,254.563494
6.284922,8,254.759218
10.048108,13,255.119351
10.524245,14,255.561574
11.233673,13,255.97279
12.110814,16,256.455073
12.080319,16,256.920135
10.577656,14,257.342823
12.467346,14,257.68792
12.475524,16,258.118769
12.194147,16,258.523628
11.996986,16,258.944948
7.846716,9,259.226075
14.16961,17,259.690376
14.763407,17,260.173333
6.844542,8,260.364729
14.300679,16,260.853677
8.72831,11,261.192939
11.496986,16,261.66605
13.140903,15,262.04291
12.995123,15,262.41589
13.224301,17,262.854116
12.659772,17,263.387688
12.549718,15,263.812521
14.224513,16,264.291047
6.744169,8,264.480721
10.216045,13,264.874178
12.4019,17,265.407713
14.984007,17,265.954653
14.41016,16,266.431535
13.197388,16,266.884866
13.374518,15,267.322863
13.400397,15,267.746387
12.972557,14,268.126952
13.2435,15,268.536689
13.409833,15,268.912057
12.363032,16,269.343077
4.0885,5,269.479049
13.614053,16,269.935514
13.660829,17,270.460518
7.091742,9,270.735958
4.194463,5,270.869352
4.006764,5,271.001154
11.222163,15,271.434864
7.68032,10,271.729574
12.16637,16,272.081241
8.884371,11,272.342509
14.189568,16,272.744913
13.520935,15,273.114103
12.029985,16,273.512338
14.483683,16,273.876917
6.725359,8,274.136818
14.217344,16,274.529584
7.361127,9,274.767001
13.606234,16,275.258693
14.578457,17,275.785662
6.384391,8,276.025615
14.189243,16,276.563999
4.928568,6,276.722485
13.799009,16,277.111683
14.134012,16,277.560555
11.329107,13,277.893832
12.605321,15,278.346094
12.299718,15,278.800559
10.167292,12,279.134295
7.716313,9,279.374279
11.805258,16,279.853322
13.465436,15,280.274293
13.308499,16,280.754215
13.772901,15,281.147571
8.333349,10,281.41511
11.502066,15,281.818456
4.960436,6,282.017777
13.772901,15,282.435722
14.049048,16,282.905318
14.328455,16,283.432972
12.291185,14,283.870041
10.725544,14,284.269568
11.500258,15,284.674325
12.249703,16,284.996536
5.068036,6,285.167429
5.174063,6,285.333877
15.041185,17,285.796221
5.621515,7,285.964787
11.778174,15,286.329007
14.66179,17,286.768663
6.795303,8,287.007655
12.578818,15,287.342739
11.828372,16,287.83949
13.717346,16,288.268914
11.896709,13,288.667645
8.347066,10,288.937057
13.715722,15,289.411172
7.744102,9,289.60499
12.068878,16,290.10358
13.967345,16,290.584468
13.828457,16,291.028519
11.00313,13,291.443122
11.541425,16,291.854795
14.413753,17,292.326478
9.785986,12,292.682202
7.597314,10,292.971136
10.706911,12,293.304041
14.356234,16,293.83204
8.410004,10,294.120541
15.189568,17,294.877536
15.189568,17,295.33391
15.189568,17,295.881964
15.189568,17,296.399549
15.189568,17,296.884047
10.163753,12,297.370523
10.902947,13,297.726546
14.050679,16,298.167434
14.745123,17,298.682672
13.689568,16,299.153838
12.439558,14,299.526964
13.772624,15,299.935529
4.181278,5,300.080095
12.91961,15,300.491793
13.223275,16,300.941708
4.932436,6,301.112898
10.763405,12,301.382352
4.941943,6,301.549706
11.083544,15,301.965528
12.323534,16,302.454315
12.244727,17,302.950636
7.023358,8,303.201604
12.330838,17,303.739224
12.383616,17,308.792357
12.818002,16,309.281514
7.236899,8,309.452234
9.343376,12,309.781754
6.882291,8,309.979442
13.817276,15,310.331403
13.272901,15,310.705377
14.967346,17,311.199672
11.485845,14,311.626952
14.178127,16,312.062654
12.277481,16,312.512667
15.078457,17,313.014125
12.13555,16,313.485147
14.428641,17,314.047631
11.900163,15,314.429027
12.522505,17,314.919068
4.047854,5,315.056469
11.166933,15,315.494952
15.022901,17,316.018984
14.383947,16,316.415352
10.607488,13,316.767349
15.050679,17,317.259473
11.888592,16,317.6639
9.02326,11,317.953863
14.884012,17,318.461413
15.16179,17,318.973209
13.83326,17,319.510845
14.354612,16,319.984869
14.328401,16,320.429683
4.089304,5,320.580148
14.272568,16,321.083144
13.022901,15,321.456045
10.773279,13,321.816625
12.133928,16,322.181572
11.057898,15,322.548026
8.326966,11,322.892112
13.252943,16,323.345755
12.286671,15,323.714077
12.71695,17,324.166542
13.252943,16,324.572122
13.967337,16,324.980661
13.467346,15,325.357224
11.465774,14,325.728656
9.924994,13,326.080588
14.078457,16,326.554983
12.052541,16,327.033098
6.094459,7,327.213505
12.605273,15,327.562827
12.52194,15,327.989402
12.221878,16,328.541147
12.74445,17,329.012187
12.6225,17,329.461205
12.716948,17,330.060181
10.828815,13,330.453488
8.216481,10,330.752095
9.792246,11,331.072803
13.661781,15,331.49773
11.60537,14,331.933017
5.345673,7,332.1289
14.180994,17,332.645537
14.828457,17,333.102323
13.245123,15,333.505194
7.08449,9,333.80978
13.743513,16,334.273166
12.429678,17,334.75063
14.300679,16,335.188575
14.800679,17,335.708711
15.050679,17,336.238079
14.245123,17,336.747406
12.71695,17,337.283839
6.655052,8,337.492861
15.189568,17,338.020667
15.16179,17,338.545687
14.217346,17,339.04261
13.190554,16,339.55249
12.578061,17,340.042516
13.856234,16,340.558304
7.0958,8,340.788288
13.995123,16,341.201537
13.689558,15,341.5389
4.311111,5,341.684203
14.300623,16,342.182909
13.690554,17,342.719268
14.374518,16,343.203207
7.71648,9,343.426099
14.995123,17,343.918512
6.153514,7,344.096421
13.571384,16,344.522368
6.978073,8,344.705616
11.500397,15,345.086123
8.093096,9,345.343592
13.856234,16,345.831189
11.931937,16,346.275131
8.132226,10,346.533792
8.864056,10,346.792987
12.360814,16,347.265329
13.522901,16,347.780841
14.346741,16,348.373007
9.275398,12,348.687739
11.958092,16,349.223175
13.086277,16,349.722966
10.809965,13,350.386456
12.996109,16,351.132232
12.689172,17,352.059961
13.717298,16,352.8168
11.060373,13,353.435059
12.003444,15,354.17291
15.134012,17,355.089483
13.701618,16,355.905115
10.798892,13,356.519254
14.439568,16,357.431095
14.134012,16,358.25272
12.1941,16,359.091592
13.745123,15,359.814929
12.939567,14,360.434627
13.364054,16,361.278773
11.833747,14,362.015814
12.245482,15,362.731955
14.41179,16,363.569441
4.980264,6,363.885087
8.459259,11,364.445262
15.106234,17,365.361305
6.874802,8,365.804305
7.149839,9,366.316119
12.52194,15,367.044972
14.328457,16,367.972726
12.248081,16,368.73489
7.315377,9,369.222222
8.226957,10,369.775986
13.995123,16,370.683361
11.635875,16,371.570973
12.690554,16,372.47549
11.877198,16,373.442388
11.961095,15,374.25859
15.050679,17,375.120989
12.773887,16,375.955601
13.689568,16,376.833397
11.995086,16,377.696625
14.634012,17,378.551468
10.740251,14,379.259019
7.721835,9,379.670218
13.647781,16,380.479377
13.733997,15,392.629548
14.356234,17,393.571168
12.928452,15,394.557829
13.40989,15,395.377958
11.58562,15,396.127521
12.522505,17,396.937049
14.134012,16,397.739148
14.66179,17,398.628273
14.318906,16,399.431972
13.114054,16,400.222096
12.386393,17,401.287502
14.56734,16,402.148558
12.073541,16,403.005408
12.633616,17,404.049246
14.828457,17,404.973468
14.439568,16,405.850222
12.695441,15,406.520501
11.336656,14,407.20753
14.439568,16,408.158637
12.106197,16,409.162601
12.161745,16,410.176733
13.473486,16,411.092686
15.134012,17,412.036482
8.441534,10,412.541734
14.364054,17,413.558949
12.71695,17,414.51904
15.106234,17,415.446801
8.901223,12,416.128682
4.99423,6,416.42069
15.16179,17,417.26879
13.133955,15,417.998818
13.190554,16,418.822353
10.132226,12,419.443567
15.106226,17,420.332779
15.078455,17,421.361116
14.634012,17,422.278666
12.91179,15,423.091141
9.967704,12,423.707998
